"","Region","Decile","N","Max","Min","Mean"
"1","Urban","4",2051,11838181.8181818,3566055.55555556,5822031.86370618
"2","Urban","9",2112,29585625,7808064.51612903,12834253.1610814
"3","Urban","7",2069,18409647.0588235,5485294.11764706,8715450.50349378
"4","Urban","5",2042,13590200,4106666.66666667,6618093.67515951
"5","Urban","2",1862,8736444.44444445,2533823.52941176,4333095.54749097
"6","Urban","8",2079,22330000,6403722.22222222,10271048.1107413
"7","Urban","6",2107,15656333.3333333,4711764.70588235,7453989.66402968
"8","Urban","3",1868,10232263.1578947,3046000,5176214.86806887
"9","Urban","1",1937,6981416.66666667,543703.703703704,3043255.68050875
"10","Urban","10",2006,514731000,10458823.5294118,22809181.6767241
"11","Rural","1",1276,3723333.33333333,385294.117647059,1907389.02260873
"12","Rural","4",1592,6333636.36363636,2322352.94117647,3770049.00220485
"13","Rural","3",1550,5545614.03508772,1968750,3293169.04964113
"14","Rural","5",1673,7221851.85185185,2639705.88235294,4220195.0560209
"15","Rural","7",1802,9489545.45454545,3422916.66666667,5327613.53151652
"16","Rural","9",2136,13703863.6363636,4748518.51851852,7407965.46751692
"17","Rural","2",1445,4698823.52941176,1576470.58823529,2768112.73149485
"18","Rural","10",2429,164494000,6157812.5,12412841.9855074
"19","Rural","6",1692,8058333.33333333,3013888.88888889,4660803.1360218
"20","Rural","8",1965,11209411.7647059,3964583.33333333,6137258.46644924
