,Region,NewArea,NewArea2,N,Mean
30,Urban,0,Markazi,441,44121.46585
45,Urban,1,Gilan,719,76319.8862
52,Urban,1,Sh_Arak,149,45285.86969
15,Urban,3,Az_Sharghi,310,37376.20161
26,Urban,4,Az_Gharbi,438,42178.20577
64,Urban,5,Kermanshah,473,54048.87086
25,Urban,6,Khoozestan,448,44738.44848
6,Urban,7,Fars,399,37424.03071
40,Urban,8,Kerman,428,39644.07884
55,Urban,9,Khorasan_Razavi,377,43094.38258
69,Urban,10,Esfahan,339,44478.64224
8,Urban,11,Sistan,648,33495.14697
65,Urban,12,Kordestan,505,51817.29388
57,Urban,13,Hamedan,551,46165.07002
23,Urban,14,Chaharmahal,676,40504.36992
72,Urban,15,Lorestan,473,49201.09315
36,Urban,16,Ilam,478,38829.83709
56,Urban,17,Kohkilooye,539,44348.12555
62,Urban,18,Booshehr,581,64489.3973
39,Urban,19,Zanjan,605,52417.34061
71,Urban,20,Semnan,480,50497.99713
43,Urban,21,Yazd,421,34214.11544
41,Urban,22,Hormozgan,644,57489.31378
63,Urban,23,Tehran,511,101859.8161
50,Urban,24,Ardebil,503,37938.43164
51,Urban,25,Ghom,539,76811.96875
75,Urban,26,Ghazvin,420,68148.58876
46,Urban,27,Golestan,1072,51316.50672
68,Urban,28,Khorasan_Shomali,712,51390.45355
22,Urban,29,Khorasan_Jonoobi,649,30648.55141
76,Urban,30,Alborz,99,93814.66622
59,Urban,303,Sh_Tabriz,292,71917.1145
53,Urban,401,Sh_Urmia,86,52247.96119
74,Urban,502,Sh_Kermanshah,192,77861.92672
67,Urban,603,Sh_Ahvaz,215,70830.9176
60,Urban,707,Sh_Shiraz,292,110584.5266
42,Urban,808,Sh_Kerman,88,54150.21041
66,Urban,916,Sh_Mashhad,388,104445.0187
58,Urban,1002,Sh_Esfahan,346,95316.02357
48,Urban,1105,Sh_Zahedan,153,79018.47361
73,Urban,1304,Sh_Hamedan,215,86846.4834
49,Urban,2105,Sh_Yazd,183,48339.44994
28,Urban,2202,Sh_Bandarabas,251,102451.7129
37,Urban,2301,Sh_Tehran,1016,272443.7246
29,Urban,3001,Sh_Karaj,321,123018.1665
16,Rural,0,Markazi,843,18679.44314
32,Rural,1,Gilan,419,37805.00657
54,Rural,2,Mazandaran,558,42865.83221
20,Rural,3,Az_Sharghi,674,18699.12623
3,Rural,4,Az_Gharbi,617,17882.71656
70,Rural,5,Kermanshah,708,28095.1778
19,Rural,6,Khoozestan,720,23259.17919
27,Rural,7,Fars,793,20825.35889
21,Rural,8,Kerman,574,21000.22644
24,Rural,9,Khorasan_Razavi,842,17744.2454
4,Rural,10,Esfahan,653,25102.69588
5,Rural,11,Sistan,679,19178.33351
12,Rural,12,Kordestan,316,13905.03272
2,Rural,13,Hamedan,596,19910.17393
7,Rural,14,Chaharmahal,489,17808.64054
47,Rural,15,Lorestan,573,22180.88184
14,Rural,16,Ilam,528,16693.47134
10,Rural,17,Kohkilooye,587,12603.93854
44,Rural,18,Booshehr,535,29283.36216
1,Rural,19,Zanjan,514,18558.17831
35,Rural,20,Semnan,479,17646.15956
34,Rural,21,Yazd,649,26678.10332
11,Rural,22,Hormozgan,670,16456.71685
9,Rural,23,Tehran,493,74221.52731
17,Rural,24,Ardebil,457,17489.35739
33,Rural,25,Ghom,390,33613.17173
61,Rural,26,Ghazvin,567,33456.16509
13,Rural,27,Golestan,675,26152.06578
38,Rural,28,Khorasan_Shomali,695,19276.86918
18,Rural,29,Khorasan_Jonoobi,705,10635.34517
31,Rural,30,Alborz,539,67845.99936
