"","Region","Decile","N","Mean"
"1","Urban","4",2051,982645.70230608
"2","Urban","9",2112,2121479.34743312
"3","Urban","7",2069,1700257.3313783
"4","Urban","5",2042,1145394.61091442
"5","Urban","2",1862,549254.432179294
"6","Urban","8",2079,1730766.18651062
"7","Urban","6",2107,1309879.31148247
"8","Urban","3",1868,856812.668010753
"9","Urban","1",1937,301575.847457627
"10","Urban","10",2006,3238972.94707282
"11","Rural","1",1276,67272.0755265069
"12","Rural","4",1592,317497.820291777
"13","Rural","3",1550,251589.839879154
"14","Rural","5",1673,399097.885608856
"15","Rural","7",1802,536120.093561532
"16","Rural","9",2136,890157.871132898
"17","Rural","2",1445,180707.928571429
"18","Rural","10",2429,1393849.56874683
"19","Rural","6",1692,443864.648736756
"20","Rural","8",1965,690981.000752446
