,Normal,Low Engle,,,,Whthout Free food,
Year:77,0.1348799,0.1785997,77,,Year:77,0.1348799,0
Year:78,0.1002544,0.1273884,78,,Year:78,0.100239,1.54E-05
Year:79,0.103689,0.1280594,79,,Year:79,0.103688,1E-06
Year:80,0.1096495,0.1267702,80,,Year:80,0.1097302,-8.07E-05
Year:81,0.1049098,0.1194273,81,,Year:81,0.104992,-8.22E-05
Year:82,0.1006454,0.1119572,82,,Year:82,0.100658,-1.26E-05
Year:83,0.06575217,0.07232248,83,,Year:83,0.06727317,-0.001521
Year:84,0.06971408,0.07783405,84,,Year:84,0.06943957,0.00027451
Year:85,0.1248929,0.1331523,85,,Year:85,0.1259139,-0.001021
Year:86,0.1047528,0.1170185,86,,Year:86,0.1057996,-0.0010468
Year:87,0.1455867,0.1581291,87,,Year:87,0.1460282,-0.0004415
Year:88,0.167211,0.1825259,88,,Year:88,0.1676889,-0.0004779
Year:89,0.1564711,0.1809759,89,,Year:89,0.1569048,-0.0004337
Year:90,0.1507596,0.1697725,90,,Year:90,0.1509316,-0.000172
Year:91,0.1548806,0.1744685,91,,Year:91,0.1547764,0.0001042
Year:92,0.1688576,0.192152,92,,Year:92,0.1678026,0.001055
Year:93,0.1833457,0.2004631,93,,Year:93,0.1834321,-8.64E-05
Year:94,0.1768209,0.1877876,94,,Year:94,0.1769498,-0.0001289
Year:95,0.181825,0.1948099,95,,Year:95,0.1817708,5.42E-05
Year:96,0.1753227,0.1875745,96,,Year:96,0.1751266,0.0001961
Year:97,0.1836055,0.1972429,97,,Year:97,0.1840691,-0.0004636
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Normal,Low Engle,,,,,
Year:77,154418.6,142132.8,77,,,,
Year:78,175812.7,165103.6,78,,,,
Year:79,209319.2,197688.8,79,,,,
Year:80,249168.1,238806.5,80,,,,
Year:81,316051.2,304767.6,81,,,,
Year:82,386027.8,376465.2,82,,,,
Year:83,417693.4,405275,83,,,,
Year:84,497373.6,483768,84,,,,
Year:85,659625.5,646759.2,85,,,,
Year:86,777856.8,757989.4,86,,,,
Year:87,1105990,1083231,87,,,,
Year:88,1225537,1196842,88,,,,
Year:89,1378323,1323853,89,,,,
Year:90,1828628,1775296,90,,,,
Year:91,2415967,2333149,91,,,,
Year:92,3312250,3196557,92,,,,
Year:93,3758529,3666416,93,,,,
Year:94,4095279,4033376,94,,,,
Year:95,4453663,4386435,95,,,,
Year:96,4939316,4860056,96,,,,
Year:97,6077818,5963500,97,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Year:77,142132.8,,,,,,
Year:78,165103.6,,,,,,
Year:79,197688.8,,,,,,
Year:80,238806.5,,,,,,
Year:81,304767.6,,,,,,
Year:82,376465.2,,,,,,
Year:83,405275,,,,,,
Year:84,483768,,,,,,
Year:85,646759.2,,,,,,
Year:86,757989.4,,,,,,
Year:87,1083231,,,,,,
Year:88,1196842,,,,,,
Year:89,1323853,,,,,,
Year:90,1775296,,,,,,
Year:91,2333149,,,,,,
Year:92,3196557,,,,,,
Year:93,3666416,,,,,,
Year:94,4033376,,,,,,
Year:95,4386435,,,,,,
Year:96,4860056,,,,,,
Year:97,5963500,,,,,,
