"","Year","ProvinceCode","Total_Exp_Per","HSex"
"1",97,23,21327937.2591019,"Male"
"2",97,23,29558256.1875301,"Female"
"3",97,7,12253542.8572326,"Male"
"4",97,7,15180869.082304,"Female"
"5",97,10,14474606.0719539,"Male"
"6",97,10,15465956.1132643,"Female"
"7",97,22,13014274.5711513,"Male"
"8",97,22,8881883.99882365,"Female"
"9",97,30,16210186.4003453,"Male"
"10",97,30,20909524.8412397,"Female"
"11",97,0,11040480.5946516,"Male"
"12",97,0,10780363.0954871,"Female"
"13",97,1,13001527.4505109,"Male"
"14",97,1,17745765.2164893,"Female"
"15",97,2,15194961.8185215,"Male"
"16",97,2,20013879.2061891,"Female"
"17",97,17,10370492.6846698,"Male"
"18",97,17,9678610.01495556,"Female"
"19",97,25,12093512.989595,"Male"
"20",97,25,14614838.4747734,"Female"
"21",97,26,11869757.2356248,"Male"
"22",97,26,11893887.432904,"Female"
"23",97,3,12009399.1460778,"Male"
"24",97,3,11797118.4817043,"Female"
"25",97,21,12627830.9270574,"Male"
"26",97,21,13329420.890777,"Female"
"27",97,13,10475349.76718,"Male"
"28",97,13,9725283.79036707,"Female"
"29",97,14,11688291.5269972,"Male"
"30",97,14,10899758.6128307,"Female"
"31",97,18,11314947.0407941,"Male"
"32",97,18,9534550.19225638,"Female"
"33",97,19,11555213.9162399,"Male"
"34",97,19,8835208.38843134,"Female"
"35",97,20,9027055.53964228,"Male"
"36",97,20,11635083.8727033,"Female"
"37",97,4,8283187.85906388,"Male"
"38",97,4,10114796.8336422,"Female"
"39",97,6,11442039.6041804,"Male"
"40",97,6,11310692.9683456,"Female"
"41",97,8,6140104.61492033,"Female"
"42",97,8,6801996.2066762,"Male"
"43",97,9,11606976.7459623,"Male"
"44",97,9,11956582.0653805,"Female"
"45",97,16,8874491.64082015,"Male"
"46",97,16,9406210.60376382,"Female"
"47",97,24,10468997.8497918,"Male"
"48",97,24,10872914.9729022,"Female"
"49",97,5,12264216.5103536,"Male"
"50",97,5,14128739.3426973,"Female"
"51",97,12,9794324.30386055,"Male"
"52",97,12,8630956.9244345,"Female"
"53",97,15,9836593.16728706,"Male"
"54",97,15,7038726.64015446,"Female"
"55",97,27,10233080.9479285,"Male"
"56",97,27,9298486.07928189,"Female"
"57",97,28,9487350.57039094,"Male"
"58",97,28,8884321.99503637,"Female"
"59",97,29,7490735.87636964,"Male"
"60",97,29,5975374.26463371,"Female"
"61",97,11,6496855.54862315,"Male"
"62",97,11,3848519.3710004,"Female"
